"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.620","0.610","0.625","0.560","755.50K","-4.62%"
"Apr 25, 2019","0.650","0.620","0.650","0.600","731.00K","5.69%"
"Apr 24, 2019","0.615","0.610","0.625","0.605","1.89M","0.00%"
"Apr 23, 2019","0.615","0.605","0.615","0.605","50.00K","0.82%"
"Apr 22, 2019","0.610","0.595","0.610","0.585","461.20K","2.52%"
"Apr 19, 2019","0.595","0.570","0.595","0.570","132.50K","8.18%"
"Apr 18, 2019","0.550","0.560","0.575","0.545","90.00K","-4.35%"
"Apr 17, 2019","0.575","0.600","0.600","0.575","51.00K","-4.17%"
"Apr 16, 2019","0.600","0.570","0.600","0.570","2.16M","5.26%"
"Apr 12, 2019","0.570","0.570","0.570","0.530","99.10K","-1.72%"
"Apr 11, 2019","0.580","0.565","0.580","0.560","155.70K","-1.69%"
"Apr 09, 2019","0.590","0.595","0.600","0.555","81.00K","-1.67%"
"Apr 08, 2019","0.600","0.615","0.615","0.590","172.60K","-0.83%"
"Apr 05, 2019","0.605","0.580","0.615","0.575","365.10K","4.31%"
"Apr 04, 2019","0.580","0.555","0.580","0.555","16.30K","-0.85%"
"Apr 03, 2019","0.585","0.585","0.585","0.585","53.00K","0.00%"
"Apr 02, 2019","0.585","0.575","0.590","0.575","37.00K","1.74%"
"Apr 01, 2019","0.575","0.580","0.600","0.570","193.90K","-1.71%"
"Mar 29, 2019","0.585","0.585","0.585","0.585","14.00K","0.00%"
"Mar 28, 2019","0.585","0.585","0.585","0.580","39.00K","-0.85%"
"Mar 27, 2019","0.590","0.610","0.610","0.560","101.40K","0.00%"
"Mar 26, 2019","0.590","0.590","0.610","0.590","275.40K","0.85%"
"Mar 25, 2019","0.585","0.585","0.595","0.575","37.20K","6.36%"
"Mar 22, 2019","0.550","0.600","0.600","0.550","67.20K","-8.33%"
"Mar 21, 2019","0.600","0.610","0.630","0.595","804.80K","2.56%"
"Mar 20, 2019","0.585","0.650","0.655","0.580","53.90K","-2.50%"
"Mar 19, 2019","0.600","0.625","0.660","0.600","23.50K","-10.45%"
"Mar 18, 2019","0.670","0.695","0.700","0.645","70.30K","-3.60%"
"Mar 15, 2019","0.695","0.710","0.735","0.655","941.00K","1.46%"
"Mar 14, 2019","0.685","0.575","0.720","0.570","1.43M","22.32%"
"Mar 13, 2019","0.560","0.560","0.560","0.560","2.00K","2.75%"
"Mar 12, 2019","0.545","0.485","0.545","0.485","51.50K","4.81%"
"Mar 11, 2019","0.520","0.500","0.520","0.500","18.00K","4.00%"
"Mar 08, 2019","0.500","0.490","0.500","0.460","40.10K","2.04%"
"Mar 07, 2019","0.490","0.490","0.490","0.490","24.90K","4.26%"
"Mar 06, 2019","0.470","0.465","0.470","0.465","53.40K","1.08%"
"Mar 05, 2019","0.465","0.465","0.465","0.465","2.70K","-1.06%"
"Mar 04, 2019","0.470","0.465","0.475","0.445","78.00K","0.00%"
"Mar 01, 2019","0.470","0.470","0.470","0.470","5.00K","-7.84%"
"Feb 28, 2019","0.510","0.505","0.510","0.505","15.00K","2.00%"
"Feb 25, 2019","0.500","0.500","0.500","0.500","10.00K","3.09%"
"Feb 22, 2019","0.485","0.485","0.485","0.485","2.00K","0.00%"
"Feb 21, 2019","0.485","0.485","0.485","0.485","2.00K","-1.02%"
"Feb 20, 2019","0.490","0.490","0.490","0.490","22.00K","0.00%"
"Feb 19, 2019","0.490","0.490","0.500","0.490","8.80K","-2.00%"
"Feb 18, 2019","0.500","0.510","0.515","0.495","4.30K","2.04%"
"Feb 15, 2019","0.490","0.490","0.530","0.490","42.20K","0.00%"
"Feb 14, 2019","0.490","0.475","0.490","0.475","17.40K","3.16%"
"Feb 11, 2019","0.475","0.425","0.475","0.425","6.10K","0.00%"
"Feb 08, 2019","0.475","0.455","0.475","0.455","2.50K","4.40%"
"Feb 07, 2019","0.455","0.455","0.455","0.455","2.00K","0.00%"
"Jan 29, 2019","0.455","0.435","0.455","0.435","6.80K","0.00%"
"Jan 25, 2019","0.455","0.425","0.455","0.425","7.70K","0.00%"
"Jan 24, 2019","0.455","0.420","0.455","0.415","37.60K","-4.21%"
"Jan 23, 2019","0.475","0.455","0.475","0.440","11.00K","0.00%"
"Jan 22, 2019","0.475","0.465","0.490","0.455","27.20K","-4.04%"
"Jan 16, 2019","0.495","0.495","0.495","0.495","0.10K","-1.00%"
"Jan 14, 2019","0.500","0.470","0.500","0.470","5.40K","0.00%"
"Jan 11, 2019","0.500","0.490","0.500","0.490","4.00K","8.70%"
"Jan 09, 2019","0.460","0.480","0.480","0.460","3.00K","-4.17%"
"Jan 07, 2019","0.480","0.430","0.480","0.430","3.20K","0.00%"
