"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.115","0.105","0.120","0.105","21.28M","9.52%"
"Apr 25, 2019","0.105","0.105","0.110","0.100","3.97M","0.00%"
"Apr 24, 2019","0.105","0.110","0.115","0.105","10.56M","-4.55%"
"Apr 23, 2019","0.110","0.105","0.115","0.100","17.14M","4.76%"
"Apr 22, 2019","0.105","0.090","0.110","0.090","27.55M","16.67%"
"Apr 19, 2019","0.090","0.095","0.095","0.090","10.41M","-5.26%"
"Apr 18, 2019","0.095","0.100","0.100","0.090","6.70M","-5.00%"
"Apr 17, 2019","0.100","0.105","0.105","0.090","15.91M","0.00%"
"Apr 16, 2019","0.100","0.105","0.105","0.100","8.49M","-4.76%"
"Apr 15, 2019","0.105","0.105","0.110","0.100","23.43M","5.00%"
"Apr 12, 2019","0.100","0.105","0.105","0.100","7.38M","0.00%"
"Apr 11, 2019","0.100","0.110","0.110","0.095","18.96M","-9.09%"
"Apr 10, 2019","0.110","0.110","0.110","0.105","10.47M","0.00%"
"Apr 09, 2019","0.110","0.115","0.115","0.105","17.35M","0.00%"
"Apr 08, 2019","0.110","0.115","0.120","0.110","37.91M","0.00%"
"Apr 05, 2019","0.110","0.140","0.145","0.110","211.74M","69.23%"
"Apr 04, 2019","0.065","0.060","0.070","0.060","23.12M","8.33%"
"Apr 03, 2019","0.060","0.055","0.060","0.050","19.63M","9.09%"
"Apr 02, 2019","0.055","0.050","0.055","0.050","1.21M","0.00%"
"Apr 01, 2019","0.055","0.050","0.055","0.045","4.73M","10.00%"
"Mar 29, 2019","0.050","0.050","0.055","0.050","948.60K","-9.09%"
"Mar 28, 2019","0.055","0.050","0.055","0.050","838.20K","10.00%"
"Mar 27, 2019","0.050","0.050","0.050","0.045","1.90M","-9.09%"
"Mar 26, 2019","0.055","0.050","0.055","0.050","12.46M","22.22%"
"Mar 25, 2019","0.045","0.045","0.045","0.045","1.46M","0.00%"
"Mar 22, 2019","0.045","0.045","0.045","0.045","800.00K","0.00%"
"Mar 21, 2019","0.045","0.045","0.050","0.045","310.90K","0.00%"
"Mar 20, 2019","0.045","0.045","0.050","0.045","2.38M","0.00%"
"Mar 19, 2019","0.045","0.045","0.050","0.045","2.41M","0.00%"
"Mar 18, 2019","0.045","0.050","0.050","0.045","3.26M","-10.00%"
"Mar 15, 2019","0.050","0.055","0.055","0.050","3.38M","-9.09%"
"Mar 14, 2019","0.055","0.045","0.055","0.045","26.59M","22.22%"
"Mar 13, 2019","0.045","0.045","0.050","0.045","6.16M","12.50%"
"Mar 12, 2019","0.040","0.045","0.045","0.040","4.09M","-11.11%"
"Mar 11, 2019","0.045","0.045","0.045","0.040","4.55M","0.00%"
"Mar 08, 2019","0.045","0.050","0.050","0.045","2.62M","-10.00%"
"Mar 07, 2019","0.050","0.045","0.055","0.045","24.32M","11.11%"
"Mar 06, 2019","0.045","0.040","0.045","0.040","149.00K","0.00%"
"Mar 05, 2019","0.045","0.040","0.045","0.040","2.79M","12.50%"
"Mar 04, 2019","0.040","0.045","0.045","0.040","4.10M","-11.11%"
"Mar 01, 2019","0.045","0.045","0.045","0.040","426.80K","12.50%"
"Feb 28, 2019","0.040","0.040","0.045","0.040","590.80K","0.00%"
"Feb 27, 2019","0.040","0.040","0.045","0.040","844.60K","-11.11%"
"Feb 26, 2019","0.045","0.045","0.045","0.040","449.80K","0.00%"
"Feb 25, 2019","0.045","0.040","0.050","0.040","2.99M","12.50%"
"Feb 22, 2019","0.040","0.045","0.045","0.040","1.29M","-20.00%"
"Feb 21, 2019","0.050","0.050","0.050","0.040","3.39M","0.00%"
"Feb 20, 2019","0.050","0.045","0.050","0.045","5.65M","25.00%"
"Feb 19, 2019","0.040","0.040","0.045","0.040","944.00K","0.00%"
"Feb 18, 2019","0.040","0.045","0.045","0.040","1.56M","-11.11%"
"Feb 15, 2019","0.045","0.045","0.050","0.045","4.86M","0.00%"
"Feb 14, 2019","0.045","0.045","0.050","0.040","19.64M","0.00%"
"Feb 13, 2019","0.045","0.050","0.050","0.045","1.68M","-10.00%"
"Feb 12, 2019","0.050","0.050","0.050","0.045","471.80K","0.00%"
"Feb 11, 2019","0.050","0.060","0.065","0.045","30.35M","-16.67%"
"Feb 08, 2019","0.060","0.045","0.060","0.040","13.22M","33.33%"
"Feb 07, 2019","0.045","0.045","0.045","0.040","777.30K","0.00%"
"Jan 31, 2019","0.045","0.045","0.045","0.040","1.49M","0.00%"
"Jan 30, 2019","0.045","0.045","0.045","0.045","200.00K","0.00%"
"Jan 29, 2019","0.045","0.045","0.045","0.045","1.75M","0.00%"
"Jan 28, 2019","0.045","0.050","0.050","0.045","1.71M","0.00%"
"Jan 25, 2019","0.045","0.045","0.050","0.045","1.62M","-10.00%"
"Jan 24, 2019","0.050","0.045","0.050","0.045","177.00K","0.00%"
"Jan 23, 2019","0.050","0.045","0.050","0.040","1.14M","11.11%"
"Jan 22, 2019","0.045","0.060","0.060","0.040","22.83M","-25.00%"
"Jan 18, 2019","0.060","0.050","0.065","0.050","15.05M","20.00%"
