"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.645","0.630","0.645","0.630","13.90K","4.88%"
"Apr 25, 2019","0.615","0.610","0.615","0.600","62.00K","2.50%"
"Apr 24, 2019","0.600","0.630","0.630","0.600","2.00K","2.56%"
"Apr 22, 2019","0.585","0.585","0.585","0.585","59.90K","0.00%"
"Apr 18, 2019","0.585","0.585","0.585","0.585","5.00K","0.00%"
"Apr 17, 2019","0.585","0.590","0.590","0.585","25.00K","-2.50%"
"Apr 15, 2019","0.600","0.610","0.610","0.600","202.00K","0.00%"
"Apr 12, 2019","0.600","0.605","0.610","0.600","9.60K","-1.64%"
"Apr 11, 2019","0.610","0.610","0.610","0.600","16.00K","0.00%"
"Apr 10, 2019","0.610","0.600","0.610","0.600","125.70K","1.67%"
"Apr 09, 2019","0.600","0.600","0.600","0.600","99.30K","0.00%"
"Apr 08, 2019","0.600","0.600","0.600","0.600","5.00K","-1.64%"
"Apr 04, 2019","0.610","0.600","0.610","0.600","46.90K","2.52%"
"Apr 03, 2019","0.595","0.595","0.595","0.595","0.90K","-0.83%"
"Apr 02, 2019","0.600","0.600","0.600","0.600","35.00K","1.69%"
"Apr 01, 2019","0.590","0.610","0.610","0.590","2.00K","-4.07%"
"Mar 29, 2019","0.615","0.615","0.615","0.610","39.00K","0.00%"
"Mar 28, 2019","0.615","0.625","0.625","0.600","78.30K","-5.38%"
"Mar 27, 2019","0.650","0.645","0.650","0.645","10.00K","2.36%"
"Mar 26, 2019","0.635","0.620","0.635","0.610","22.00K","2.42%"
"Mar 22, 2019","0.620","0.620","0.620","0.620","2.00K","0.00%"
"Mar 21, 2019","0.620","0.620","0.620","0.620","1.00K","-1.59%"
"Mar 20, 2019","0.630","0.635","0.635","0.630","3.50K","3.28%"
"Mar 18, 2019","0.610","0.610","0.610","0.610","23.00K","-1.61%"
"Mar 15, 2019","0.620","0.635","0.635","0.600","40.00K","-4.62%"
"Mar 13, 2019","0.650","0.650","0.650","0.650","13.00K","0.00%"
"Mar 12, 2019","0.650","0.650","0.650","0.650","18.00K","0.00%"
"Mar 11, 2019","0.650","0.635","0.650","0.635","6.20K","4.84%"
"Mar 08, 2019","0.620","0.620","0.620","0.620","1.00K","-3.88%"
"Mar 07, 2019","0.645","0.650","0.650","0.645","10.00K","-0.77%"
"Mar 06, 2019","0.650","0.620","0.650","0.620","1.10K","0.00%"
"Mar 05, 2019","0.650","0.650","0.650","0.650","5.00K","0.00%"
"Mar 04, 2019","0.650","0.650","0.650","0.650","10.00K","0.00%"
"Feb 28, 2019","0.650","0.650","0.650","0.630","26.50K","0.00%"
"Feb 27, 2019","0.650","0.650","0.650","0.650","1.00K","-4.41%"
"Feb 25, 2019","0.680","0.640","0.680","0.610","12.80K","3.03%"
"Feb 22, 2019","0.660","0.660","0.660","0.660","15.00K","0.00%"
"Feb 21, 2019","0.660","0.660","0.660","0.660","1.00K","-2.94%"
"Feb 20, 2019","0.680","0.650","0.680","0.650","12.70K","-2.16%"
"Feb 19, 2019","0.695","0.650","0.695","0.645","240.10K","6.11%"
"Feb 18, 2019","0.655","0.650","0.660","0.650","5.00K","0.00%"
"Feb 15, 2019","0.655","0.655","0.655","0.655","1.00K","1.55%"
"Feb 13, 2019","0.645","0.635","0.645","0.635","12.00K","1.57%"
"Feb 12, 2019","0.635","0.635","0.635","0.635","1.00K","0.00%"
"Feb 11, 2019","0.635","0.610","0.635","0.610","106.10K","4.10%"
"Feb 04, 2019","0.610","0.650","0.650","0.610","0.20K","-6.15%"
"Jan 31, 2019","0.650","0.650","0.650","0.650","1.00K","0.00%"
"Jan 29, 2019","0.650","0.650","0.650","0.650","1.00K","0.00%"
"Jan 28, 2019","0.650","0.655","0.655","0.650","24.00K","-0.76%"
"Jan 24, 2019","0.655","0.655","0.655","0.655","1.00K","-0.76%"
"Jan 22, 2019","0.660","0.660","0.660","0.660","3.00K","1.54%"
"Jan 18, 2019","0.650","0.655","0.655","0.650","2.00K","0.00%"
"Jan 17, 2019","0.650","0.650","0.650","0.650","1.70K","-7.14%"
"Jan 16, 2019","0.700","0.700","0.700","0.700","10.30K","7.69%"
"Jan 15, 2019","0.650","0.650","0.650","0.650","4.00K","0.00%"
"Jan 11, 2019","0.650","0.650","0.650","0.650","1.00K","-4.41%"
"Jan 09, 2019","0.680","0.680","0.680","0.680","2.00K","5.43%"
"Jan 08, 2019","0.645","0.650","0.650","0.645","17.00K","-0.77%"
"Jan 07, 2019","0.650","0.650","0.650","0.650","3.00K","0.00%"
"Jan 03, 2019","0.650","0.650","0.650","0.650","14.40K","0.00%"
