"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2019","0.110","0.105","0.110","0.105","563.10K","0.00%"
"Apr 25, 2019","0.110","0.100","0.110","0.100","51.00K","0.00%"
"Apr 24, 2019","0.110","0.105","0.110","0.105","99.00K","0.00%"
"Apr 23, 2019","0.110","0.100","0.110","0.100","257.30K","10.00%"
"Apr 22, 2019","0.100","0.100","0.100","0.100","230.00K","-4.76%"
"Apr 19, 2019","0.105","0.100","0.105","0.100","15.10K","0.00%"
"Apr 18, 2019","0.105","0.095","0.105","0.095","506.20K","5.00%"
"Apr 17, 2019","0.100","0.100","0.100","0.100","155.00K","-4.76%"
"Apr 15, 2019","0.105","0.105","0.105","0.105","263.50K","0.00%"
"Apr 12, 2019","0.105","0.105","0.115","0.105","1.81M","0.00%"
"Apr 11, 2019","0.105","0.095","0.105","0.095","26.70K","5.00%"
"Apr 10, 2019","0.100","0.095","0.100","0.095","8.00K","0.00%"
"Apr 09, 2019","0.100","0.100","0.105","0.100","79.10K","-4.76%"
"Apr 08, 2019","0.105","0.100","0.105","0.100","61.20K","5.00%"
"Apr 05, 2019","0.100","0.095","0.100","0.095","414.80K","5.26%"
"Apr 04, 2019","0.095","0.095","0.095","0.095","60.00K","-5.00%"
"Apr 03, 2019","0.100","0.100","0.100","0.090","255.50K","5.26%"
"Apr 02, 2019","0.095","0.095","0.095","0.095","155.00K","-9.52%"
"Mar 28, 2019","0.105","0.095","0.105","0.095","20.30K","5.00%"
"Mar 27, 2019","0.100","0.100","0.100","0.100","460.00K","-4.76%"
"Mar 26, 2019","0.105","0.095","0.105","0.095","49.80K","5.00%"
"Mar 22, 2019","0.100","0.095","0.100","0.095","60.20K","0.00%"
"Mar 21, 2019","0.100","0.105","0.110","0.095","963.00K","0.00%"
"Mar 20, 2019","0.100","0.105","0.105","0.100","110.00K","0.00%"
"Mar 19, 2019","0.100","0.100","0.100","0.100","10.00K","-9.09%"
"Mar 18, 2019","0.110","0.110","0.110","0.110","60.00K","0.00%"
"Mar 15, 2019","0.110","0.100","0.120","0.100","3.16M","15.79%"
"Mar 14, 2019","0.095","0.100","0.100","0.095","321.20K","0.00%"
"Mar 13, 2019","0.095","0.095","0.095","0.090","24.10K","0.00%"
"Mar 12, 2019","0.095","0.090","0.095","0.090","20.10K","5.56%"
"Mar 11, 2019","0.090","0.090","0.090","0.090","0.80K","-10.00%"
"Mar 08, 2019","0.100","0.100","0.100","0.100","100.00K","0.00%"
"Mar 07, 2019","0.100","0.095","0.100","0.095","200.10K","-4.76%"
"Mar 06, 2019","0.105","0.090","0.105","0.090","550.10K","0.00%"
"Mar 05, 2019","0.105","0.105","0.105","0.105","9.00K","0.00%"
"Mar 04, 2019","0.105","0.095","0.105","0.095","12.10K","0.00%"
"Feb 28, 2019","0.105","0.105","0.105","0.105","0.10K","5.00%"
"Feb 27, 2019","0.100","0.090","0.100","0.090","469.90K","5.26%"
"Feb 26, 2019","0.095","0.100","0.100","0.095","152.00K","-9.52%"
"Feb 22, 2019","0.105","0.100","0.105","0.100","10.10K","0.00%"
"Feb 21, 2019","0.105","0.105","0.105","0.100","180.10K","0.00%"
"Feb 20, 2019","0.105","0.095","0.105","0.095","132.30K","5.00%"
"Feb 18, 2019","0.100","0.100","0.100","0.100","50.10K","0.00%"
"Feb 15, 2019","0.100","0.095","0.100","0.095","74.90K","5.26%"
"Feb 14, 2019","0.095","0.095","0.095","0.095","81.20K","-5.00%"
"Feb 13, 2019","0.100","0.095","0.100","0.095","19.80K","5.26%"
"Feb 12, 2019","0.095","0.085","0.095","0.085","40.10K","0.00%"
"Feb 11, 2019","0.095","0.090","0.095","0.085","120.10K","5.56%"
"Feb 08, 2019","0.090","0.085","0.090","0.085","120.10K","5.88%"
"Feb 07, 2019","0.085","0.085","0.085","0.085","10.00K","0.00%"
"Jan 31, 2019","0.085","0.090","0.095","0.085","21.10K","-5.56%"
"Jan 30, 2019","0.090","0.090","0.090","0.090","50.00K","0.00%"
"Jan 29, 2019","0.090","0.085","0.090","0.080","480.70K","0.00%"
"Jan 28, 2019","0.090","0.090","0.090","0.085","250.20K","-5.26%"
"Jan 24, 2019","0.095","0.100","0.100","0.095","310.00K","-5.00%"
"Jan 23, 2019","0.100","0.100","0.100","0.100","39.70K","-4.76%"
"Jan 22, 2019","0.105","0.105","0.110","0.105","199.50K","-4.55%"
"Jan 18, 2019","0.110","0.105","0.110","0.105","0.70K","0.00%"
"Jan 17, 2019","0.110","0.110","0.110","0.105","170.20K","0.00%"
"Jan 16, 2019","0.110","0.110","0.110","0.100","236.20K","4.76%"
"Jan 15, 2019","0.105","0.105","0.115","0.100","215.20K","-4.55%"
"Jan 14, 2019","0.110","0.110","0.120","0.110","59.10K","0.00%"
"Jan 11, 2019","0.110","0.105","0.120","0.105","547.20K","4.76%"
"Jan 10, 2019","0.105","0.110","0.110","0.105","75.00K","0.00%"
"Jan 09, 2019","0.105","0.115","0.115","0.100","170.00K","-8.70%"
"Jan 08, 2019","0.115","0.115","0.115","0.110","90.10K","0.00%"
"Jan 07, 2019","0.115","0.100","0.120","0.100","1.30M","9.52%"
"Jan 04, 2019","0.105","0.105","0.105","0.095","292.00K","5.00%"
"Jan 03, 2019","0.100","0.090","0.100","0.090","237.60K","11.11%"
