,sector,code,industry
0,basic-materials,0038,Commodity Chemicals
1,basic-materials,0054,Commodity Chemicals
2,basic-materials,0055,Commodity Chemicals
3,basic-materials,0205,Commodity Chemicals
4,basic-materials,1899,Commodity Chemicals
5,basic-materials,2607,Forest & Wood Products
6,basic-materials,2674,Aluminum
7,basic-materials,2682,Steel
8,basic-materials,2739,Steel
9,basic-materials,2852,Construction Materials
10,basic-materials,2879,Agricultural Chemicals
11,basic-materials,2984,Steel
12,basic-materials,3298,Specialty Chemicals
13,basic-materials,3778,Steel
14,basic-materials,3794,Construction Materials
15,basic-materials,3883,Paper Packaging
16,basic-materials,4022,Forest & Wood Products
17,basic-materials,4081,Construction Materials
18,basic-materials,4235,Steel
19,basic-materials,4243,Forest & Wood Products
20,basic-materials,4359,Commodity Chemicals
21,basic-materials,4383,Forest & Wood Products
22,basic-materials,4448,Construction Materials
23,basic-materials,4731,Non-Paper Containers & Packaging
24,basic-materials,4758,Agricultural Chemicals
25,basic-materials,4995,Paper Packaging
26,basic-materials,5001,Forest & Wood Products
27,basic-materials,5012,Forest & Wood Products
28,basic-materials,5025,Forest & Wood Products
29,basic-materials,5065,Paper Packaging
30,basic-materials,5072,Steel
31,basic-materials,5082,Forest & Wood Products
32,basic-materials,5094,Steel
33,basic-materials,5095,Forest & Wood Products
34,basic-materials,5098,Steel
35,basic-materials,5100,Non-Paper Containers & Packaging
36,basic-materials,5101,Forest & Wood Products
37,basic-materials,5125,Steel
38,basic-materials,5134,Commodity Chemicals
39,basic-materials,5143,Commodity Chemicals
40,basic-materials,5147,Commodity Chemicals
41,basic-materials,5151,Agricultural Chemicals
42,basic-materials,5165,Construction Materials
43,basic-materials,5169,Construction Materials
44,basic-materials,5181,Commodity Chemicals
45,basic-materials,5182,Non-Paper Containers & Packaging
46,basic-materials,5183,Commodity Chemicals
47,basic-materials,5192,Steel
48,basic-materials,5197,Forest & Wood Products
49,basic-materials,5232,Steel
50,basic-materials,5284,Commodity Chemicals
51,basic-materials,5289,Specialty Chemicals
52,basic-materials,5436,Non-Paper Containers & Packaging
53,basic-materials,5576,Forest & Wood Products
54,basic-materials,5649,Forest & Wood Products
55,basic-materials,5665,Steel
56,basic-materials,5797,Steel
57,basic-materials,5835,Construction Materials
58,basic-materials,5843,Non-Paper Containers & Packaging
59,basic-materials,5916,Specialty Mining & Metals
60,basic-materials,6211,Construction Materials
61,basic-materials,6262,Forest & Wood Products
62,basic-materials,6297,Paper Packaging
63,basic-materials,6556,Steel
64,basic-materials,6904,Forest & Wood Products
65,basic-materials,7005,Construction Materials
66,basic-materials,7014,Steel
67,basic-materials,7020,Steel
68,basic-materials,7029,Paper Packaging
69,basic-materials,7034,Non-Paper Containers & Packaging
70,basic-materials,7043,Construction Materials
71,basic-materials,7083,Commodity Chemicals
72,basic-materials,7086,Construction Materials
73,basic-materials,7099,Steel
74,basic-materials,7114,Non-Paper Containers & Packaging
75,basic-materials,7123,Forest & Wood Products
76,basic-materials,7131,Commodity Chemicals
77,basic-materials,7140,Construction Materials
78,basic-materials,7157,Non-Paper Containers & Packaging
79,basic-materials,7167,Non-Paper Containers & Packaging
80,basic-materials,7169,Forest & Wood Products
81,basic-materials,7172,Aluminum
82,basic-materials,7173,Specialty Chemicals
83,basic-materials,7180,Forest & Wood Products
84,basic-materials,7181,Forest & Wood Products
85,basic-materials,7183,Non-Paper Containers & Packaging
86,basic-materials,7188,Forest & Wood Products
87,basic-materials,7200,Commodity Chemicals
88,basic-materials,7202,Forest & Wood Products
89,basic-materials,7203,Paper Products
90,basic-materials,7214,Aluminum
91,basic-materials,7217,Steel
92,basic-materials,7221,Steel
93,basic-materials,7222,Agricultural Chemicals
94,basic-materials,7225,Aluminum
95,basic-materials,7239,Commodity Chemicals
96,basic-materials,7245,Steel
97,basic-materials,7247,Non-Paper Containers & Packaging
98,basic-materials,7248,Non-Paper Containers & Packaging
99,basic-materials,7285,Non-Paper Containers & Packaging
100,basic-materials,7498,Non-Paper Containers & Packaging
101,basic-materials,7501,Forest & Wood Products
102,basic-materials,7544,Construction Materials
103,basic-materials,7757,Paper Products
104,basic-materials,7854,Forest & Wood Products
105,basic-materials,8052,Paper Packaging
106,basic-materials,8117,Construction Materials
107,basic-materials,8125,Non-Paper Containers & Packaging
108,basic-materials,8176,Non-Paper Containers & Packaging
109,basic-materials,8192,Commodity Chemicals
110,basic-materials,8273,Paper Packaging
111,basic-materials,8362,Paper Packaging
112,basic-materials,8435,Construction Materials
113,basic-materials,8443,Commodity Chemicals
114,basic-materials,8745,Forest & Wood Products
115,basic-materials,8869,Aluminum
116,basic-materials,9016,Forest & Wood Products
117,basic-materials,9083,Diversified Chemicals
118,basic-materials,9121,Construction Materials
119,basic-materials,9199,Steel
120,basic-materials,9237,Construction Materials
121,basic-materials,9326,Aluminum
122,basic-materials,9342,Forest & Wood Products
123,basic-materials,9741,Steel
124,basic-materials,9873,Steel
125,basic-materials,9881,Steel
126,basic-materials,9938,Non-Paper Containers & Packaging
127,consumer-cyclicals,0037,Casinos & Gaming
128,consumer-cyclicals,0100,Apparel & Accessories
129,consumer-cyclicals,0105,Textiles & Leather Goods
130,consumer-cyclicals,0109,Construction Supplies & Fixtures
131,consumer-cyclicals,0122,Advertising & Marketing
132,consumer-cyclicals,0140,Computer & Electronics Retailers
133,consumer-cyclicals,0147,Advertising & Marketing
134,consumer-cyclicals,0153,Restaurants & Bars
135,consumer-cyclicals,0157,Other Specialty Retailers
136,consumer-cyclicals,0158,Restaurants & Bars
137,consumer-cyclicals,0159,Advertising & Marketing
138,consumer-cyclicals,0170,Computer & Electronics Retailers
139,consumer-cyclicals,0173,Advertising & Marketing
140,consumer-cyclicals,0175,Home Furnishings
141,consumer-cyclicals,0190,Tires & Rubber Products
142,consumer-cyclicals,0192,Homebuilding
143,consumer-cyclicals,0197,Home Furnishings
144,consumer-cyclicals,0202,Computer & Electronics Retailers
145,consumer-cyclicals,0206,Homebuilding
146,consumer-cyclicals,03016,Apparel & Accessories Retailers
147,consumer-cyclicals,1287,"Hotels, Motels & Cruise Lines"
148,consumer-cyclicals,1481,Leisure & Recreation
149,consumer-cyclicals,1562,Casinos & Gaming
150,consumer-cyclicals,1619,Auto & Truck Manufacturers
151,consumer-cyclicals,1643,"Hotels, Motels & Cruise Lines"
152,consumer-cyclicals,2755,Other Specialty Retailers
153,consumer-cyclicals,2925,"Auto Vehicles, Parts & Service Retailers"
154,consumer-cyclicals,3018,Casinos & Gaming
155,consumer-cyclicals,3115,Leisure & Recreation
156,consumer-cyclicals,3182,"Hotels, Motels & Cruise Lines"
157,consumer-cyclicals,3441,Leisure & Recreation
158,consumer-cyclicals,3611,Construction Supplies & Fixtures
159,consumer-cyclicals,3719,"Appliances, Tools & Housewares"
160,consumer-cyclicals,3859,Casinos & Gaming
161,consumer-cyclicals,3891,Department Stores
162,consumer-cyclicals,4006,"Auto, Truck & Motorcycle Parts"
163,consumer-cyclicals,4219,Casinos & Gaming
164,consumer-cyclicals,4251,Leisure & Recreation
165,consumer-cyclicals,4405,Auto & Truck Manufacturers
166,consumer-cyclicals,4502,Broadcasting
167,consumer-cyclicals,4588,Auto & Truck Manufacturers
168,consumer-cyclicals,4715,"Hotels, Motels & Cruise Lines"
169,consumer-cyclicals,4898,"Hotels, Motels & Cruise Lines"
170,consumer-cyclicals,5000,Home Furnishings
171,consumer-cyclicals,5009,Construction Supplies & Fixtures
172,consumer-cyclicals,5015,"Auto, Truck & Motorcycle Parts"
173,consumer-cyclicals,5016,Leisure & Recreation
174,consumer-cyclicals,5037,Computer & Electronics Retailers
175,consumer-cyclicals,5048,Construction Supplies & Fixtures
176,consumer-cyclicals,5056,Construction Supplies & Fixtures
177,consumer-cyclicals,5080,Apparel & Accessories
178,consumer-cyclicals,5090,Consumer Publishing
179,consumer-cyclicals,5104,Advertising & Marketing
180,consumer-cyclicals,5131,Advertising & Marketing
181,consumer-cyclicals,5150,Footwear
182,consumer-cyclicals,5156,Footwear
183,consumer-cyclicals,5158,"Hotels, Motels & Cruise Lines"
184,consumer-cyclicals,5159,Home Furnishings
185,consumer-cyclicals,5160,Home Furnishings
186,consumer-cyclicals,5172,Footwear
187,consumer-cyclicals,5196,Restaurants & Bars
188,consumer-cyclicals,5198,"Auto, Truck & Motorcycle Parts"
189,consumer-cyclicals,5242,"Auto, Truck & Motorcycle Parts"
190,consumer-cyclicals,5248,"Auto Vehicles, Parts & Service Retailers"
191,consumer-cyclicals,5252,Consumer Publishing
192,consumer-cyclicals,5260,Leisure & Recreation
193,consumer-cyclicals,5271,Textiles & Leather Goods
194,consumer-cyclicals,5273,Construction Supplies & Fixtures
195,consumer-cyclicals,5371,Construction Supplies & Fixtures
196,consumer-cyclicals,5517,"Hotels, Motels & Cruise Lines"
197,consumer-cyclicals,5592,"Hotels, Motels & Cruise Lines"
198,consumer-cyclicals,5657,Department Stores
199,consumer-cyclicals,5886,"Auto, Truck & Motorcycle Parts"
200,consumer-cyclicals,5983,Auto & Truck Manufacturers
201,consumer-cyclicals,6025,Consumer Publishing
202,consumer-cyclicals,6068,Apparel & Accessories
203,consumer-cyclicals,6084,Consumer Publishing
204,consumer-cyclicals,6351,Other Specialty Retailers
205,consumer-cyclicals,6399,Entertainment Production
206,consumer-cyclicals,6939,"Appliances, Tools & Housewares"
207,consumer-cyclicals,7004,"Auto, Truck & Motorcycle Parts"
208,consumer-cyclicals,7006,Home Furnishings
209,consumer-cyclicals,7010,Construction Supplies & Fixtures
210,consumer-cyclicals,7016,Construction Supplies & Fixtures
211,consumer-cyclicals,7025,Construction Supplies & Fixtures
212,consumer-cyclicals,7036,Restaurants & Bars
213,consumer-cyclicals,7052,Apparel & Accessories Retailers
